"DATE","TIME PERIOD","HICP - Overall index (ICP.M.PL.N.000000.4.ANR)"
"2005-09-30","2005Sep","1.9"
"2005-10-31","2005Oct","1.5"
"2005-11-30","2005Nov","1.1"
"2005-12-31","2005Dec","0.8"
"2006-01-31","2006Jan","0.9"
"2006-02-28","2006Feb","0.9"
"2006-03-31","2006Mar","1.0"
"2006-04-30","2006Apr","1.2"
"2006-05-31","2006May","1.5"
"2006-06-30","2006Jun","1.4"
"2006-07-31","2006Jul","1.4"
"2006-08-31","2006Aug","1.7"
"2006-09-30","2006Sep","1.4"
"2006-10-31","2006Oct","1.1"
"2006-11-30","2006Nov","1.2"
"2006-12-31","2006Dec","1.4"
"2007-01-31","2007Jan","1.6"
"2007-02-28","2007Feb","2.0"
"2007-03-31","2007Mar","2.4"
"2007-04-30","2007Apr","2.1"
"2007-05-31","2007May","2.2"
"2007-06-30","2007Jun","2.6"
"2007-07-31","2007Jul","2.5"
"2007-08-31","2007Aug","2.0"
"2007-09-30","2007Sep","2.7"
"2007-10-31","2007Oct","3.2"
"2007-11-30","2007Nov","3.8"
"2007-12-31","2007Dec","4.3"
"2008-01-31","2008Jan","4.4"
"2008-02-29","2008Feb","4.5"
"2008-03-31","2008Mar","4.4"
"2008-04-30","2008Apr","4.2"
"2008-05-31","2008May","4.3"
"2008-06-30","2008Jun","4.4"
"2008-07-31","2008Jul","4.6"
"2008-08-31","2008Aug","4.4"
"2008-09-30","2008Sep","4.1"
"2008-10-31","2008Oct","3.9"
"2008-11-30","2008Nov","3.5"
"2008-12-31","2008Dec","3.3"
"2009-01-31","2009Jan","3.2"
"2009-02-28","2009Feb","3.6"
"2009-03-31","2009Mar","4.1"
"2009-04-30","2009Apr","4.4"
"2009-05-31","2009May","4.3"
"2009-06-30","2009Jun","4.2"
"2009-07-31","2009Jul","4.5"
"2009-08-31","2009Aug","4.4"
"2009-09-30","2009Sep","4.0"
"2009-10-31","2009Oct","3.8"
"2009-11-30","2009Nov","3.9"
"2009-12-31","2009Dec","3.9"
"2010-01-31","2010Jan","4.0"
"2010-02-28","2010Feb","3.4"
"2010-03-31","2010Mar","2.8"
"2010-04-30","2010Apr","2.6"
"2010-05-31","2010May","2.3"
"2010-06-30","2010Jun","2.3"
"2010-07-31","2010Jul","2.0"
"2010-08-31","2010Aug","1.9"
"2010-09-30","2010Sep","2.4"
"2010-10-31","2010Oct","2.8"
"2010-11-30","2010Nov","2.5"
"2010-12-31","2010Dec","2.9"
"2011-01-31","2011Jan","3.5"
"2011-02-28","2011Feb","3.4"
"2011-03-31","2011Mar","4.0"
"2011-04-30","2011Apr","4.1"
"2011-05-31","2011May","4.3"
"2011-06-30","2011Jun","3.7"
"2011-07-31","2011Jul","3.6"
"2011-08-31","2011Aug","4.0"
"2011-09-30","2011Sep","3.4"
"2011-10-31","2011Oct","3.8"
"2011-11-30","2011Nov","4.4"
"2011-12-31","2011Dec","4.6"
"2012-01-31","2012Jan","4.1"
"2012-02-29","2012Feb","4.3"
"2012-03-31","2012Mar","4.0"
"2012-04-30","2012Apr","4.0"
"2012-05-31","2012May","3.6"
"2012-06-30","2012Jun","4.3"
"2012-07-31","2012Jul","4.1"
"2012-08-31","2012Aug","3.9"
"2012-09-30","2012Sep","3.9"
"2012-10-31","2012Oct","3.4"
"2012-11-30","2012Nov","2.7"
"2012-12-31","2012Dec","2.1"
"2013-01-31","2013Jan","1.6"
"2013-02-28","2013Feb","1.2"
"2013-03-31","2013Mar","1.0"
"2013-04-30","2013Apr","0.8"
"2013-05-31","2013May","0.5"
"2013-06-30","2013Jun","0.3"
"2013-07-31","2013Jul","0.9"
"2013-08-31","2013Aug","0.8"
"2013-09-30","2013Sep","0.9"
"2013-10-31","2013Oct","0.7"
"2013-11-30","2013Nov","0.5"
"2013-12-31","2013Dec","0.6"
"2014-01-31","2014Jan","0.6"
"2014-02-28","2014Feb","0.7"
"2014-03-31","2014Mar","0.6"
"2014-04-30","2014Apr","0.3"
"2014-05-31","2014May","0.3"
"2014-06-30","2014Jun","0.3"
"2014-07-31","2014Jul","-0.1"
"2014-08-31","2014Aug","-0.1"
"2014-09-30","2014Sep","-0.3"
"2014-10-31","2014Oct","-0.3"
"2014-11-30","2014Nov","-0.3"
"2014-12-31","2014Dec","-0.7"
"2015-01-31","2015Jan","-1.1"
"2015-02-28","2015Feb","-1.3"
"2015-03-31","2015Mar","-1.2"
"2015-04-30","2015Apr","-0.8"
"2015-05-31","2015May","-0.6"
"2015-06-30","2015Jun","-0.5"
"2015-07-31","2015Jul","-0.4"
