"DATE","TIME PERIOD","HICP - Food incl. alcohol and tobacco (ICP.M.PL.N.FOOD00.4.ANR)"
"2002-03-31","2002Mar","2.9"
"2002-04-30","2002Apr","1.9"
"2002-05-31","2002May","-0.7"
"2002-06-30","2002Jun","-1.3"
"2002-07-31","2002Jul","-1.2"
"2002-08-31","2002Aug","-1.0"
"2002-09-30","2002Sep","-1.3"
"2002-10-31","2002Oct","-1.8"
"2002-11-30","2002Nov","-2.3"
"2002-12-31","2002Dec","-2.8"
"2003-01-31","2003Jan","-3.6"
"2003-02-28","2003Feb","-3.7"
"2003-03-31","2003Mar","-3.9"
"2003-04-30","2003Apr","-3.8"
"2003-05-31","2003May","-2.7"
"2003-06-30","2003Jun","-1.6"
"2003-07-31","2003Jul","-0.7"
"2003-08-31","2003Aug","-1.1"
"2003-09-30","2003Sep","-0.3"
"2003-10-31","2003Oct","0.7"
"2003-11-30","2003Nov","1.9"
"2003-12-31","2003Dec","2.1"
"2004-01-31","2004Jan","2.2"
"2004-02-29","2004Feb","2.7"
"2004-03-31","2004Mar","2.8"
"2004-04-30","2004Apr","4.0"
"2004-05-31","2004May","4.3"
"2004-06-30","2004Jun","6.5"
"2004-07-31","2004Jul","7.6"
"2004-08-31","2004Aug","7.9"
"2004-09-30","2004Sep","6.7"
"2004-10-31","2004Oct","6.4"
"2004-11-30","2004Nov","6.2"
"2004-12-31","2004Dec","6.3"
"2005-01-31","2005Jan","5.7"
"2005-02-28","2005Feb","5.1"
"2005-03-31","2005Mar","4.8"
"2005-04-30","2005Apr","3.5"
"2005-05-31","2005May","3.8"
"2005-06-30","2005Jun","0.8"
"2005-07-31","2005Jul","0.3"
"2005-08-31","2005Aug","1.1"
"2005-09-30","2005Sep","1.4"
"2005-10-31","2005Oct","1.1"
"2005-11-30","2005Nov","0.3"
"2005-12-31","2005Dec","-0.3"
"2006-01-31","2006Jan","0.1"
"2006-02-28","2006Feb","0.6"
"2006-03-31","2006Mar","0.1"
"2006-04-30","2006Apr","0.0"
"2006-05-31","2006May","0.1"
"2006-06-30","2006Jun","0.3"
"2006-07-31","2006Jul","0.6"
"2006-08-31","2006Aug","1.5"
"2006-09-30","2006Sep","1.5"
"2006-10-31","2006Oct","1.5"
"2006-11-30","2006Nov","1.9"
"2006-12-31","2006Dec","1.8"
"2007-01-31","2007Jan","2.3"
"2007-02-28","2007Feb","2.7"
"2007-03-31","2007Mar","3.4"
"2007-04-30","2007Apr","3.8"
"2007-05-31","2007May","3.8"
"2007-06-30","2007Jun","4.0"
