Date,Value
1995-03-31,-867.04600877906
1995-06-30,-721.16599292572
1995-09-30,-586.350055040101
1995-12-31,-290.139549148904
1996-03-31,-39.0935190275487
1996-06-30,290.476616826335
1996-09-30,624.112053162237
1996-12-31,677.71185491996
1997-03-31,953.426124197002
1997-06-30,1268.45988657012
1997-09-30,1414.76367498672
1997-12-31,1746.2701818925
1998-03-31,1825.31147540984
1998-06-30,1851.37420718816
1998-09-30,2059.94749861174
1998-12-31,2103.94527910101
1999-03-31,2207.26505852803
1999-06-30,2452.31438334887
1999-09-30,2508.03704236841
1999-12-31,2498.08632297335
2000-03-31,3030.7794672121
2000-06-30,3005.01320551697
2000-09-30,2914.82824619724
2000-12-31,2777.38335418954
2001-03-31,2274.97482643489
2001-06-30,2200.45924225029
2001-09-30,1931.80186647523
2001-12-31,1910.65723725528
2002-03-31,2025.78630258139
2002-06-30,2049.74575587183
2002-09-30,1752.2666013232
2002-12-31,1741.1308481361
2003-03-31,1593.07266303829
2003-06-30,1188.75114784206
2003-09-30,1313.24021336226
2003-12-31,1318.71863644229
2004-03-31,1391.78862299269
2004-06-30,1610.27796147364
2004-09-30,1410.29930373451
2004-12-31,1171.90968778045
2005-03-31,859.661757766906
2005-06-30,663.20428076802
2005-09-30,776.713283232967
2005-12-31,898.881283203923
2006-03-31,1215.64178793094
2006-06-30,1408.43928878983
2006-09-30,1797.02557098414
2006-12-31,2169.86329850824
2007-03-31,2473.74109049739
2007-06-30,2880.25259834232
2007-09-30,3008.9709762533
2007-12-31,3584.29914716816
2008-03-31,3984.59129170279
2008-06-30,4771.00088054006
2008-09-30,5431.57703817902
2008-12-31,5088.53364490945
2009-03-31,467.569129545657
2009-06-30,608.112660871909
2009-09-30,854.5428557816
2009-12-31,1058.71361839741
2010-03-31,1662.19368431614
2010-06-30,1815.56346618207
2010-09-30,2325.29248883678
2010-12-31,2505.97489033429
2011-03-31,2253.37050177395
2011-06-30,2578.74532781089
2011-09-30,2217.7860187348
2011-12-31,1866.80842400525
2012-03-31,1656.31127595738
2012-06-30,1099.84739992957
2012-09-30,339.530048832374
2012-12-31,-15.271259392554
2013-03-31,-392.246980124164
2013-06-30,-1145.10980896575
2013-09-30,-1210.74934670528
2013-12-31,-1880.53425083029
2014-03-31,188.227421551992
2014-06-30,-231.393255730229
2014-09-30,-938.438690205284
2014-12-31,-882.598784194529
2015-03-31,-1720.38830320088
2015-06-30,-1779.95743952254
2015-09-30,-2214.17484538052
2015-12-31,-3040.20076930294
2016-03-31,-2978.44314120773
2016-06-30,-3402.35116529058
2016-09-30,-3019.31899393688
2016-12-31,-3121.16574926341
2017-03-31,-3239.52691755775
2017-06-30,-3170.9926924172
2017-09-30,-3501.5149024121
2017-12-31,-3063.9620055763
2018-03-31,-2535.72454058193
2018-06-30,-2777.58487201746
2018-09-30,-2617.95872838818
2018-12-31,-2815.69092642988
2019-03-31,-4063.41826297192
2019-06-30,-4132.52224272003
2019-09-30,-4813.31048536495
2019-12-31,-5922.32511487952
2020-03-31,-5990.93452972873
2020-06-30,-6784.97346036822
2020-09-30,-7349.35717019792
2020-12-31,-9668.93076735256
2021-03-31,-7643.77323624524
2021-06-30,-7338.76487602393
2021-09-30,-2228.92621712183
2021-12-31,-1606.52329283347
2022-03-31,-1304.13151633139
2022-06-30,-3698.62306368331
2022-09-30,-3097.03396083226
2022-12-31,-3290.49794813217
2023-03-31,-11090.5248401691
2023-06-30,-11460.9619538862
2023-09-30,-11023.6486486486
2023-12-31,-10189.6649245458
2024-03-31,-10248.3557565827
2024-06-30,-8815.8078318296
2024-09-30,-7730.83837228305
2024-12-31,-6709.81147845468
2025-03-31,-5346.35249315721
2025-06-30,-6604.4585239939
2025-09-30,-7484.1005166745
